variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
baseline_v3,8192,256,3,7,17,2293421,42,1301273.5232591585
baseline_v3,8192,256,3,7,18,2186001,42,1301273.5232591585
baseline_v3,8192,512,3,8,13,5216579,42,2682111.5032506357
baseline_v3,8192,512,3,8,14,4727791,42,2682111.5032506357
baseline_v3,8192,512,3,8,15,4551225,42,2682111.5032506357
baseline_v3,8192,512,3,8,16,5099029,42,2682111.5032506357
baseline_v3,8192,512,3,8,17,4395101,42,2682111.5032506357
baseline_v3,8192,512,3,8,18,4694236,42,2682111.5032506357
baseline_v3,8192,2048,4,1,19,19197383,42,10990127.950575292
baseline_v3,8192,2048,4,1,20,19566803,42,10990127.950575292
baseline_v3,8192,2048,4,1,21,19836766,42,10990127.950575292
baseline_v3,8192,2048,4,1,22,18907673,42,10990127.950575292
baseline_v3,8192,2048,4,1,23,18657567,42,10990127.950575292
baseline_v3,8192,2048,4,1,24,18700222,42,10990127.950575292
baseline_v3,8192,1024,4,2,19,9560316,42,5385565.3672759794
baseline_v3,8192,1024,4,2,20,8820043,42,5385565.3672759794
baseline_v3,8192,1024,4,2,21,9325831,42,5385565.3672759794
baseline_v3,8192,1024,4,2,22,9038769,42,5385565.3672759794
baseline_v3,8192,1024,4,2,23,9194477,42,5385565.3672759794
baseline_v3,8192,1024,4,2,24,8997643,42,5385565.3672759794
baseline_v3,8192,128,4,3,19,1029700,42,642254.94184737862
baseline_v3,8192,128,4,3,20,1151787,42,642254.94184737862
baseline_v3,8192,128,4,3,21,1058091,42,642254.94184737862
baseline_v3,8192,128,4,3,22,1002954,42,642254.94184737862
baseline_v3,8192,128,4,3,23,977338,42,642254.94184737862
baseline_v3,8192,128,4,3,24,1030372,42,642254.94184737862
baseline_v3,8192,4096,4,4,19,36248236,42,22068289.623616572
baseline_v3,8192,4096,4,4,20,35828038,42,22068289.623616572
baseline_v3,8192,4096,4,4,21,35334334,42,22068289.623616572
baseline_v3,8192,4096,4,4,22,36421022,42,22068289.623616572
baseline_v3,8192,4096,4,4,23,36027707,42,22068289.623616572
baseline_v3,8192,4096,4,4,24,36095927,42,22068289.623616572
baseline_v3,8192,512,4,5,19,4608858,42,2682111.5032506357
baseline_v3,8192,512,4,5,20,4671162,42,2682111.5032506357
baseline_v3,8192,512,4,5,21,4751216,42,2682111.5032506357
baseline_v3,8192,512,4,5,22,4323455,42,2682111.5032506357
baseline_v3,8192,512,4,5,23,4454705,42,2682111.5032506357
baseline_v3,8192,512,4,5,24,4795384,42,2682111.5032506357
baseline_v3,8192,32,4,6,19,223340,42,176382.84726097801
baseline_v3,8192,32,4,6,20,220954,42,176382.84726097801
baseline_v3,8192,32,4,6,21,216061,42,176382.84726097801
baseline_v3,8192,32,4,6,22,219557,42,176382.84726097801
baseline_v3,8192,32,4,6,23,235264,42,176382.84726097801
baseline_v3,8192,32,4,6,24,218478,42,176382.84726097801
baseline_v3,8192,256,4,7,19,2300305,42,1301273.5232591585
baseline_v3,8192,256,4,7,20,2452015,42,1301273.5232591585
baseline_v3,8192,256,4,7,21,2265846,42,1301273.5232591585
baseline_v3,8192,256,4,7,22,2196935,42,1301273.5232591585
baseline_v3,8192,256,4,7,23,2136802,42,1301273.5232591585
baseline_v3,8192,256,4,7,24,2117465,42,1301273.5232591585
baseline_v3,8192,64,4,8,19,454078,42,330132.91021454724
baseline_v3,8192,64,4,8,20,456473,42,330132.91021454724
baseline_v3,8192,64,4,8,21,424403,42,330132.91021454724
baseline_v3,8192,64,4,8,22,458886,42,330132.91021454724
baseline_v3,8192,64,4,8,23,440479,42,330132.91021454724
baseline_v3,8192,64,4,8,24,457625,42,330132.91021454724
baseline_v3,8192,2048,5,1,25,21339724,42,10990127.950575292
baseline_v3,8192,2048,5,1,26,21767966,42,10990127.950575292
baseline_v3,8192,2048,5,1,27,22546471,42,10990127.950575292
baseline_v3,8192,2048,5,1,28,22020055,42,10990127.950575292
baseline_v3,8192,2048,5,1,29,21857337,42,10990127.950575292
baseline_v3,8192,2048,5,1,30,21320035,42,10990127.950575292
baseline_v3,8192,64,5,2,25,530364,42,330132.91021454724
baseline_v3,8192,64,5,2,26,477078,42,330132.91021454724
baseline_v3,8192,64,5,2,27,481437,42,330132.91021454724
baseline_v3,8192,64,5,2,28,458808,42,330132.91021454724
baseline_v3,8192,64,5,2,29,473119,42,330132.91021454724
baseline_v3,8192,64,5,2,30,597792,42,330132.91021454724
baseline_v3,8192,128,5,3,25,1035204,42,642254.94184737862
baseline_v3,8192,128,5,3,26,1050269,42,642254.94184737862
baseline_v3,8192,128,5,3,27,1040393,42,642254.94184737862
baseline_v3,8192,128,5,3,28,1191934,42,642254.94184737862
baseline_v3,8192,128,5,3,29,1596758,42,642254.94184737862
baseline_v3,8192,128,5,3,30,1224206,42,642254.94184737862
baseline_v3,8192,4096,5,4,25,41374868,42,22068289.623616572
baseline_v3,8192,4096,5,4,26,41631216,42,22068289.623616572
baseline_v3,8192,4096,5,4,27,38946646,42,22068289.623616572
baseline_v3,8192,4096,5,4,28,38638860,42,22068289.623616572
baseline_v3,8192,4096,5,4,29,38335924,42,22068289.623616572
baseline_v3,8192,4096,5,4,30,38634743,42,22068289.623616572
baseline_v3,8192,512,5,5,25,4914659,42,2682111.5032506357
baseline_v3,8192,512,5,5,26,4566310,42,2682111.5032506357
baseline_v3,8192,512,5,5,27,5032237,42,2682111.5032506357
baseline_v3,8192,512,5,5,28,4449667,42,2682111.5032506357
baseline_v3,8192,512,5,5,29,4397759,42,2682111.5032506357
baseline_v3,8192,512,5,5,30,5109233,42,2682111.5032506357
baseline_v3,8192,256,5,6,25,2198623,42,1301273.5232591585
baseline_v3,8192,256,5,6,26,2355096,42,1301273.5232591585
baseline_v3,8192,256,5,6,27,2606884,42,1301273.5232591585
baseline_v3,8192,256,5,6,28,2433009,42,1301273.5232591585
baseline_v3,8192,256,5,6,29,2163929,42,1301273.5232591585
baseline_v3,8192,256,5,6,30,2503525,42,1301273.5232591585
baseline_v3,8192,32,5,7,25,194935,42,176382.84726097801
baseline_v3,8192,32,5,7,26,192285,42,176382.84726097801
baseline_v3,8192,32,5,7,27,186239,42,176382.84726097801
baseline_v3,8192,32,5,7,28,183722,42,176382.84726097801
baseline_v3,8192,32,5,7,29,200421,42,176382.84726097801
baseline_v3,8192,32,5,7,30,188488,42,176382.84726097801
baseline_v3,8192,1024,5,8,25,9251094,42,5385565.3672759794
baseline_v3,8192,1024,5,8,26,9141210,42,5385565.3672759794
baseline_v3,8192,1024,5,8,27,9066906,42,5385565.3672759794
baseline_v3,8192,1024,5,8,28,9057156,42,5385565.3672759794
baseline_v3,8192,1024,5,8,29,8985263,42,5385565.3672759794
baseline_v3,8192,1024,5,8,30,8861738,42,5385565.3672759794
