variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum,time_s,vectors_per_s,elements_per_s,ns_per_element,gflop_per_s_3flop_convention,x_payload_gb_per_s
baseline_v3,16384,1024,3,1,18,18374502,42,10771937.6728,0.018374502,891670.424592,913070514.782,1.09520566463,2.73921154435,7.30456411825
baseline_v3,16384,4096,3,2,13,74782741,42,44120056.6544,0.074782741,219087.984486,897384384.453,1.11434967816,2.69215315336,7.17907507562
baseline_v3,16384,4096,3,2,14,77722404,42,44120056.6544,0.077722404,210801.508404,863442978.424,1.15815407038,2.59032893527,6.90754382739
baseline_v3,16384,4096,3,2,15,74462720,42,44120056.6544,0.07446272,220029.566473,901241104.273,1.10958099365,2.70372331282,7.20992883419
baseline_v3,16384,4096,3,2,16,74715420,42,44120056.6544,0.07471542,219285.389816,898192956.688,1.11334651709,2.69457887006,7.18554365351
baseline_v3,16384,4096,3,2,17,78725430,42,44120056.6544,0.07872543,208115.725757,852442012.702,1.17310032248,2.5573260381,6.81953610161
baseline_v3,16384,4096,3,2,18,75082720,42,44120056.6544,0.07508272,218212.659318,893799052.565,1.11881971359,2.68139715769,7.15039242052
baseline_v3,16384,64,3,3,13,959882,42,660083.659795,0.000959882,17068764.7023,1092400940.95,0.915414810181,3.27720282285,8.73920752759
baseline_v3,16384,64,3,3,14,864297,42,660083.659795,0.000864297,18956446.6844,1213212587.8,0.824257850647,3.63963776341,9.70570070242
baseline_v3,16384,64,3,3,15,911557,42,660083.659795,0.000911557,17973642.8989,1150313145.53,0.86932849884,3.45093943659,9.20250516424
baseline_v3,16384,64,3,3,16,916204,42,660083.659795,0.000916204,17882480.321,1144478740.54,0.873760223389,3.43343622163,9.15582992434
baseline_v3,16384,64,3,3,17,960513,42,660083.659795,0.000960513,17057551.5376,1091683298.4,0.916016578674,3.27504989521,8.73346638723
baseline_v3,16384,64,3,3,18,960214,42,660083.659795,0.000960214,17062863.0701,1092023236.49,0.915731430054,3.27606970946,8.73618589189
baseline_v3,16384,32,3,4,13,426488,42,352736.719945,0.000426488,38416086.7363,1229314775.56,0.813461303711,3.68794432669,9.8345182045
baseline_v3,16384,32,3,4,14,414636,42,352736.719945,0.000414636,39514176.2896,1264453641.27,0.790855407715,3.7933609238,10.1156291301
baseline_v3,16384,32,3,4,15,462072,42,352736.719945,0.000462072,35457677.5914,1134645682.92,0.881332397461,3.40393704877,9.07716546339
baseline_v3,16384,32,3,4,16,460812,42,352736.719945,0.000460812,35554629.6537,1137748148.92,0.878929138184,3.41324444676,9.10198519136
baseline_v3,16384,32,3,4,17,773070,42,352736.719945,0.00077307,21193423.6227,678189555.926,1.47451400757,2.03456866778,5.42551644741
baseline_v3,16384,32,3,4,18,491795,42,352736.719945,0.000491795,33314694.1307,1066070212.18,0.938024520874,3.19821063655,8.52856169746
baseline_v3,16384,128,3,5,13,2231063,42,1284671.27128,0.002231063,7343584.65001,939978835.201,1.06385374069,2.8199365056,7.51983068161
baseline_v3,16384,128,3,5,14,2101223,42,1284671.27128,0.002101223,7797363.72579,998062556.901,1.00194120407,2.9941876707,7.98450045521
baseline_v3,16384,128,3,5,15,2034733,42,1284671.27128,0.002034733,8052162.12643,1030676752.18,0.970236301422,3.09203025655,8.24541401747
baseline_v3,16384,128,3,5,16,2019220,42,1284671.27128,0.00201922,8114024.22718,1038595101.08,0.962839126587,3.11578530324,8.30876080863
baseline_v3,16384,128,3,5,17,1950954,42,1284671.27128,0.001950954,8397942.75006,1074936672.01,0.930287361145,3.22481001602,8.59949337606
baseline_v3,16384,128,3,5,18,2018210,42,1284671.27128,0.00201821,8118084.83755,1039114859.21,0.962357521057,3.11734457762,8.31291887366
baseline_v3,16384,2048,3,6,13,36248241,42,21978482.1873,0.036248241,451994.346429,925684421.487,1.08028176427,2.77705326446,7.40547537189
baseline_v3,16384,2048,3,6,14,36807115,42,21978482.1873,0.036807115,445131.328549,911628960.868,1.09693750739,2.7348868826,7.29303168694
baseline_v3,16384,2048,3,6,15,37036086,42,21978482.1873,0.037036086,442379.359417,905992928.086,1.10376137495,2.71797878426,7.24794342469
