variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
baseline_v3,16384,32,2,9,10,463069,42,352736.71994500834
baseline_v3,16384,32,2,9,11,486928,42,352736.71994500834
baseline_v3,16384,32,2,9,12,544037,42,352736.71994500834
baseline_v3,16384,64,2,10,7,1220764,42,660083.65979530779
baseline_v3,16384,64,2,10,8,1264932,42,660083.65979530779
baseline_v3,16384,64,2,10,9,1185498,42,660083.65979530779
baseline_v3,16384,64,2,10,10,939312,42,660083.65979530779
baseline_v3,16384,64,2,10,11,994196,42,660083.65979530779
baseline_v3,16384,64,2,10,12,915202,42,660083.65979530779
optimized_v4,16384,2048,2,11,7,28071426,42,21978482.187348239
optimized_v4,16384,2048,2,11,8,30814879,42,21978482.187348239
optimized_v4,16384,2048,2,11,9,28059594,42,21978482.187348239
optimized_v4,16384,2048,2,11,10,35700145,42,21978482.187348239
optimized_v4,16384,2048,2,11,11,27678368,42,21978482.187348239
optimized_v4,16384,2048,2,11,12,20867301,42,21978482.187348239
optimized_v4,16384,128,2,12,7,1645954,42,1284671.2712755087
optimized_v4,16384,128,2,12,8,1714152,42,1284671.2712755087
optimized_v4,16384,128,2,12,9,1719811,42,1284671.2712755087
optimized_v4,16384,128,2,12,10,1607785,42,1284671.2712755087
optimized_v4,16384,128,2,12,11,1556271,42,1284671.2712755087
optimized_v4,16384,128,2,12,12,1706513,42,1284671.2712755087
baseline_v3,16384,128,2,13,7,2074778,42,1284671.2712755087
baseline_v3,16384,128,2,13,8,2181753,42,1284671.2712755087
baseline_v3,16384,128,2,13,9,2032347,42,1284671.2712755087
baseline_v3,16384,128,2,13,10,2031846,42,1284671.2712755087
baseline_v3,16384,128,2,13,11,2176285,42,1284671.2712755087
baseline_v3,16384,128,2,13,12,2088203,42,1284671.2712755087
baseline_v3,16384,4096,2,14,7,71157994,42,44120056.654433712
baseline_v3,16384,4096,2,14,8,71054915,42,44120056.654433712
baseline_v3,16384,4096,2,14,9,73846461,42,44120056.654433712
baseline_v3,16384,4096,2,14,10,77849292,42,44120056.654433712
baseline_v3,16384,4096,2,14,11,86555397,42,44120056.654433712
baseline_v3,16384,4096,2,14,12,85499530,42,44120056.654433712
baseline_v3,16384,1024,2,15,7,18191564,42,10771937.672788229
